SampleID,TaxaID,Count,BCG Attribute,Family,Habit,FFG
Samp1000,Ablabesmyia,2,4,Chironomidae,Predator,Sprawler
Samp1000,Acentrella,10,3,Baetidae,Collector,Swimmer
Samp1000,Baetidae,1,4,Baetidae,Collector,Swimmer
Samp1000,Baetis,1,4,Baetidae,Collector,Swimmer
Samp1000,Camelobaetidius,3,4,Baetidae,Collector,Swimmer
Samp1000,Ceratopogoninae,1,4,Ceratopogonidae,Predator,Burrower
Samp1000,Corbicula,2,6,Corbiculidae,Filterer,Burrower
Samp1000,Cricotopus/Orthocladius,13,4,Chironomidae,Shredder,Sprawler
Samp1000,Cyphomella,4,,Chironomidae,,Burrower
Samp1000,Dicrotendipes,1,5,Chironomidae,Filterer,Burrower
Samp1000,Enchytraeidae,15,5,Enchytraeidae,Collector,Burrower
Samp1000,Heptagenia,4,4,Heptageniidae,Scraper,Clinger
Samp1000,Heptageniidae,26,3,Heptageniidae,Scraper,Clinger
Samp1000,Hydroptila,1,4,Hydroptilidae,Scraper,Clinger
Samp1000,Isonychia,14,3,Isonychiidae,Filterer,Swimmer
Samp1000,Leptoceridae,7,4,Leptoceridae,Collector,Climber
Samp1000,Lopescladius,2,4,Chironomidae,Shredder,Sprawler
Samp1000,Naididae,5,5,Naididae,Collector,Burrower
Samp1000,Nais,2,5,Naididae,Collector,Burrower
Samp1000,Nectopsyche,27,4,Leptoceridae,Shredder,Climber
Samp1000,Odontomesa,1,4,Chironomidae,Scraper,Sprawler
Samp1000,Ophidonais,3,5,Naididae,,
Samp1000,Parakiefferiella,14,4,Chironomidae,Collector,Sprawler
Samp1000,Paratanytarsus,2,4,Chironomidae,Collector,Sprawler
Samp1000,Polypedilum,12,4,Chironomidae,Shredder,Climber
Samp1000,Pseudocloeon,252,,Baetidae,"Scraper, Shredder",Swimmer
Samp1000,Rheotanytarsus,4,4,Chironomidae,Collector,Clinger
Samp1000,Simulium,154,4,Simuliidae,Collector,Clinger
Samp1000,Smittia,1,,Chironomidae,Collector,Burrower
Samp1000,Stictochironomus,2,4,Chironomidae,Collector,Burrower
Samp1000,Tanytarsus,8,4,Chironomidae,Collector,Climber
Samp1000,Thienemanniella,1,4,Chironomidae,Collector,Sprawler
Samp1000,Thienemannimyia Genus Gr.,1,4,Chironomidae,,
Samp1000,Tricorythodes,1,4,Leptohyphidae,Collector,Sprawler
Samp1000,Tubificidae,1,5,Tubificidae,Collector,Burrower
Samp1000,Tvetenia,1,3,Chironomidae,Collector,Sprawler
Samp1001,Ablabesmyia,2,4,Chironomidae,Predator,Sprawler
Samp1001,Acentrella,2,3,Baetidae,Collector,Swimmer
Samp1001,Baetidae,259,4,Baetidae,Collector,Swimmer
Samp1001,Baetis,2,4,Baetidae,Collector,Swimmer
Samp1001,Camelobaetidius,2,4,Baetidae,Collector,Swimmer
Samp1001,Ceratopogoninae,2,4,Ceratopogonidae,Predator,Burrower
Samp1001,Corbicula,87,6,Corbiculidae,Filterer,Burrower
Samp1001,Cricotopus/Orthocladius,2,4,Chironomidae,Shredder,Sprawler
Samp1001,Cyphomella,2,,Chironomidae,,Burrower
Samp1001,Dicrotendipes,2,5,Chironomidae,Filterer,Burrower
Samp1001,Enchytraeidae,2,5,Enchytraeidae,Collector,Burrower
Samp1001,Heptagenia,5,4,Heptageniidae,Scraper,Clinger
Samp1001,Heptageniidae,12,3,Heptageniidae,Scraper,Clinger
Samp1001,Hydroptila,2,4,Hydroptilidae,Scraper,Clinger
Samp1001,Isonychia,2,3,Isonychiidae,Filterer,Swimmer
Samp1001,Leptoceridae,211,4,Leptoceridae,Collector,Climber
Samp1001,Lopescladius,2,4,Chironomidae,Shredder,Sprawler
Samp1001,Naididae,2,5,Naididae,Collector,Burrower
Samp1002,Heptagenia,201,4,Heptageniidae,Scraper,Clinger
Samp1002,Heptageniidae,4,3,Heptageniidae,Scraper,Clinger
Samp1002,Hydroptila,4,4,Hydroptilidae,Scraper,Clinger
Samp1002,Isonychia,4,3,Isonychiidae,Filterer,Swimmer
Samp1002,Leptoceridae,4,4,Leptoceridae,Collector,Climber
Samp1002,Lopescladius,267,4,Chironomidae,Shredder,Sprawler
Samp1002,Naididae,4,5,Naididae,Collector,Burrower
Samp1002,Nais,4,5,Naididae,Collector,Burrower
Samp1002,Nectopsyche,36,4,Leptoceridae,Shredder,Climber
Samp1002,Odontomesa,4,4,Chironomidae,Scraper,Sprawler
Samp1002,Ophidonais,4,5,Naididae,,
Samp1002,Parakiefferiella,52,4,Chironomidae,Collector,Sprawler
Samp1002,Paratanytarsus,4,4,Chironomidae,Collector,Sprawler
Samp1002,Polypedilum,4,4,Chironomidae,Shredder,Climber
Samp1002,Pseudocloeon,4,,Baetidae,"Scraper, Shredder",Swimmer
